precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
140049,5,250,4,603,3,579,17,19,244,3,20,173,634
140050,15,681,4,1092,6,1059,41,28,686,3,44,488,1197
140051,3,463,1,289,2,287,19,9,460,8,18,300,387
140053,10,1383,1,1259,5,1262,46,22,1410,14,59,818,1602
140054,15,322,3,623,2,578,21,28,323,6,30,278,643
140055,17,1046,4,906,8,893,39,26,1069,6,49,676,1131
140056,9,931,1,577,5,564,37,10,937,6,39,557,782
140057,22,649,5,1407,5,1289,39,47,615,7,59,458,1492
140058,13,465,1,873,1,828,26,25,464,6,38,356,924
140059,2,279,1,222,4,230,14,3,283,0,13,178,289
140060,16,747,4,1544,6,1481,40,35,730,10,48,549,1665
140061,9,585,2,1271,4,1248,26,21,582,5,29,337,1429
140063,3,235,0,573,1,555,14,10,233,4,19,143,622
140064,16,391,6,1315,4,1245,23,31,377,6,37,287,1343
140065,6,239,3,734,0,691,23,15,231,1,29,204,732
140067,13,623,5,597,4,588,26,14,645,7,36,405,737
140068,14,868,2,751,5,711,22,19,869,4,40,590,908
140069,13,821,3,1203,7,1168,28,20,815,9,33,553,1347
140070,20,612,3,1021,5,957,44,27,606,7,56,465,1108
140071,5,418,3,341,2,339,10,12,426,4,15,246,453
140072,14,717,4,1254,8,1209,39,30,701,7,40,513,1375
140073,18,1498,4,1785,6,1797,55,26,1543,12,69,871,2249
140074,2,473,2,596,2,612,15,11,505,3,19,228,778
140076,9,568,3,489,3,476,24,15,563,11,24,383,605
140077,2,223,0,194,0,179,17,11,210,4,12,177,217
140078,10,314,1,1255,2,1203,26,26,306,4,40,269,1267
140080,3,97,0,257,3,251,5,10,92,9,6,78,276
140081,9,1029,2,817,5,796,40,26,1032,5,32,660,1008
140082,18,1170,4,1094,13,1076,62,39,1193,9,58,746,1382
140083,1,173,1,283,0,272,1,4,176,1,7,101,321
140086,15,593,3,1254,1,1202,40,20,576,5,52,398,1366
140087,7,238,1,601,4,572,10,11,235,3,25,180,629
140088,13,690,1,1541,7,1510,27,29,705,10,40,454,1689
140089,14,952,0,1459,6,1402,53,33,956,8,70,651,1655
140090,0,0,0,0,0,0,0,0,0,0,0,0,0
140091,0,113,0,190,0,188,2,8,120,2,5,74,221
140092,0,3,0,4,0,4,0,0,3,0,0,1,6
140093,11,422,1,178,1,181,13,6,438,6,13,259,278
140094,2,137,1,212,0,203,6,7,140,2,12,88,242
140095,1,136,0,398,0,383,9,3,130,0,12,100,405
150002,5,78,0,347,2,331,1,3,72,3,2,52,356
150003,1,37,0,167,0,160,5,1,29,0,3,22,166
150004,4,70,2,373,0,356,6,5,59,4,5,53,364
150005,8,81,0,349,3,307,7,8,65,2,7,54,334
150006,1,27,1,123,2,114,3,2,23,0,3,20,113
150007,0,47,1,246,1,238,3,4,45,1,4,34,239
150009,1,18,0,80,1,79,1,1,17,0,0,11,79
150010,0,23,0,134,0,130,1,1,24,2,5,18,131
150011,4,49,0,272,0,249,7,5,40,0,4,34,257
160001,13,570,5,688,2,713,25,21,624,2,24,428,795
160002,15,521,2,570,5,574,24,20,562,2,30,410,651
160003,11,452,2,432,3,435,19,17,495,2,28,371,488
160007,17,470,1,539,2,552,37,20,502,4,31,374,607
160008,16,688,2,798,3,836,37,25,760,6,38,566,898
160009,14,695,3,726,5,727,30,28,736,7,37,553,804
160011,11,660,3,498,6,523,34,23,704,3,23,525,580
160013,17,460,1,475,3,496,19,27,528,3,28,378,525
160014,4,162,0,196,0,190,39,9,171,0,34,164,206
160015,12,430,1,558,1,568,22,22,475,2,25,348,611
160017,12,441,2,589,3,603,23,19,485,6,30,346,670
160019,8,257,2,415,4,409,19,17,279,3,29,217,443
160020,6,368,2,414,4,418,12,15,394,4,19,259,458
160021,7,241,3,294,3,286,13,13,262,1,22,209,293
160025,4,320,0,66,4,76,9,10,346,2,14,234,99
160026,3,169,0,242,2,232,2,15,186,2,12,138,246
160027,4,186,1,226,2,233,16,16,207,3,17,156,259
160029,3,188,0,62,1,71,5,5,201,2,4,143,89
160030,6,127,0,118,2,131,7,5,149,1,7,101,137
160031,19,947,5,1541,7,1556,48,52,1021,12,43,719,1689
160032,1,54,0,12,0,14,1,3,59,2,2,52,18
160033,2,213,1,268,2,264,10,10,234,1,22,168,294
160034,10,582,2,780,4,792,25,13,622,6,33,448,854
160035,4,109,1,314,1,315,5,5,122,1,9,91,322
160036,2,117,0,249,0,255,11,5,125,1,7,88,265
160037,1,53,0,272,0,266,1,6,59,1,7,35,280
160038,28,558,3,1811,5,1776,59,40,592,4,60,469,1870
160039,8,164,3,699,1,683,18,14,171,3,23,129,725
160040,3,144,1,821,2,810,18,10,147,2,23,129,821
160041,5,114,0,462,2,453,9,10,127,2,16,86,465
160042,16,797,3,1565,7,1566,26,30,836,9,37,594,1681
160043,2,46,2,283,0,277,0,5,49,1,4,36,288
160045,13,239,2,727,3,721,9,9,257,4,15,185,753
160046,4,43,1,267,0,263,8,5,45,1,5,30,268
160048,9,139,1,495,2,481,8,11,144,5,15,110,511
160049,7,115,2,563,0,558,5,4,131,1,14,81,579
160050,7,597,3,1112,2,1135,27,22,665,4,43,444,1204
